"flight_date","source","destination","price","currency","company","scrape_date"
"2023-03-25 07:25:00","BSL","AMS",161.19,"EUR","EasyJet","2023-03-14"
"2023-03-28 20:50:00","BSL","AMS",21.8,"EUR","EasyJet","2023-03-14"
"2023-03-26 11:00:00","BSL","AMS",43.76,"EUR","EasyJet","2023-03-14"
"2023-03-26 15:50:00","BSL","AMS",51.41,"EUR","EasyJet","2023-03-14"
"2023-03-27 13:10:00","BSL","AMS",23.33,"EUR","EasyJet","2023-03-14"
"2023-02-28 06:40:00","OPO","BSL",120.49,"EUR","EasyJet","2023-02-27"
"2023-02-28 06:45:00","BSL","AMS",57.27,"EUR","EasyJet","2023-02-27"
"2023-02-28 08:50:00","AMS","BSL",121.92,"EUR","EasyJet","2023-02-27"
"2023-02-28 14:40:00","LIS","BSL",114.99,"EUR","EasyJet","2023-02-27"
"2023-02-28 15:15:00","BSL","NCE",101.1,"EUR","EasyJet","2023-02-27"
"2023-02-28 17:00:00","NCE","BSL",100.55,"EUR","EasyJet","2023-02-27"
"2023-02-28 17:15:00","BSL","OPO",81.46,"EUR","EasyJet","2023-02-27"
"2023-02-28 19:00:00","BSL","LIS",103.12,"EUR","EasyJet","2023-02-27"
"2023-02-28 19:20:00","OPO","BSL",143.49,"EUR","EasyJet","2023-02-27"
"2023-02-28 20:30:00","BSL","AMS",76.92,"EUR","EasyJet","2023-02-27"
"2023-03-01 06:00:00","OPO","BSL",97.49,"EUR","EasyJet","2023-02-27"
"2023-03-01 08:50:00","AMS","BSL",88.42,"EUR","EasyJet","2023-02-27"
"2023-03-01 10:05:00","BSL","OPO",101.11,"EUR","EasyJet","2023-02-27"
"2023-03-01 13:50:00","OTP","MLA",319,"RON","WizzAir","2023-02-27"
"2023-03-01 15:35:00","BSL","NCE",72.89,"EUR","EasyJet","2023-02-27"
"2023-03-01 15:55:00","LIS","BSL",101.99,"EUR","EasyJet","2023-02-27"
"2023-03-01 15:55:00","MLA","OTP",79.99,"EUR","WizzAir","2023-02-27"
"2023-03-01 17:15:00","BSL","OPO",110.68,"EUR","EasyJet","2023-02-27"
"2023-03-01 17:35:00","NCE","BSL",58.05,"EUR","EasyJet","2023-02-27"
"2023-03-01 19:20:00","OPO","BSL",109.99,"EUR","EasyJet","2023-02-27"
"2023-03-01 20:15:00","BSL","LIS",83.98,"EUR","EasyJet","2023-02-27"
"2023-03-01 20:30:00","BSL","AMS",58.79,"EUR","EasyJet","2023-02-27"
"2023-03-02 07:05:00","BSL","OPO",81.46,"EUR","EasyJet","2023-02-27"
"2023-03-02 09:15:00","OPO","BSL",57.49,"EUR","EasyJet","2023-02-27"
"2023-03-02 15:30:00","LIS","BSL",83.99,"EUR","EasyJet","2023-02-27"
"2023-03-02 17:20:00","OPO","BSL",70.99,"EUR","EasyJet","2023-02-27"
"2023-03-02 18:40:00","AMS","BSL",112.92,"EUR","EasyJet","2023-02-27"
"2023-03-02 19:10:00","BSL","NCE",63.32,"EUR","EasyJet","2023-02-27"
"2023-03-02 19:50:00","BSL","LIS",81.46,"EUR","EasyJet","2023-02-27"
"2023-03-02 20:35:00","BSL","AMS",91.02,"EUR","EasyJet","2023-02-27"
"2023-03-02 20:55:00","NCE","BSL",53.55,"EUR","EasyJet","2023-02-27"
"2023-03-03 06:00:00","OPO","BSL",70.99,"EUR","EasyJet","2023-02-27"
"2023-03-03 06:45:00","BSL","AMS",86.49,"EUR","EasyJet","2023-02-27"
"2023-03-03 07:00:00","BSL","NCE",47.7,"EUR","EasyJet","2023-02-27"
"2023-03-03 07:35:00","BSL","LIS",102.12,"EUR","EasyJet","2023-02-27"
"2023-03-03 08:50:00","AMS","BSL",80.42,"EUR","EasyJet","2023-02-27"
"2023-03-03 09:25:00","MLA","OTP",26.22,"EUR","RyanAir","2023-02-27"
